Keyword,Title,Date,Location,Icon,Link
,Spring Slugfest 2019,"Mar 23 - 24, 2019","Fremont, CA • Mather, CA • Stockton, CA • Sunnyvale, CA",,Public/Results/Tournament.aspx?IDTournament=h201903181932155773df466da108c4a
,Windy City Open,"Apr 13 - 14, 2019","Barrington, IL • Elgin, IL • Naperville, IL • West Dundee, IL",,Public/Results/Tournament.aspx?IDTournament=h2019040521100027152fe0de0dbea4d
,Cinco de Mayo Fiesta 2019,"Apr 27 - 28, 2019","Antioch, CA • Mather, CA • Paso Robles, CA • Stockton, CA",,Public/Results/Tournament.aspx?IDTournament=h20190422171906104080804a6035d4e
,St. Kilian Invitational Basketball Tourname,"Feb 14 - 17, 2019","Hartford, WI",,Public/Results/Tournament.aspx?IDTournament=h201809161348244804445d59273a847
,First Pitch Classic,"Feb 23 - 24, 2019","Ceres, CA",,Public/Results/Tournament.aspx?IDTournament=h20190208065443581e3928c96aa4543
,March Madness 3-on-3 IL,"Apr 7, 2019","Seneca, IL",,Public/Results/Tournament.aspx?IDTournament=h20190204172531912b245d20c1d114e
,Hardball Challenge 2019,"Feb 8 - 10, 2019","Antioch, CA • Stockton, CA",,Public/Results/Tournament.aspx?IDTournament=h201902051943088404b1c3e519c0747
,19th Annual John Wickstrom Memorial Tournament,"Feb 16 - 17, 2019","Ripon, WI",,Public/Results/Tournament.aspx?IDTournament=h20181005184115928e681ddf9e75a49
,Winter Showdown 2019,"Feb 23 - 24, 2019","Stockton, CA • Sunnyvale, CA",,Public/Results/Tournament.aspx?IDTournament=h20190218165814810b6a5bee604ad42
,2019 B & G Club of Rockford Bill Howard Basketball League,"Jan 12 - Mar 23, 2019","Rockford, IL",,Public/Results/Tournament.aspx?IDTournament=h2019010817243850986145c31faa148
,March Madness 2019,"Mar 9 - 10, 2019","Antioch, CA • Stockton, CA",,Public/Results/Tournament.aspx?IDTournament=h201903041923246357218250a419440
,SWISH Spring Shootout,"Mar 9 - 10, 2019","Bloomington, IL",,Public/Results/Tournament.aspx?IDTournament=h20181230201339320f46a8a42ed7942
,Junior Huskies Boys League,"Nov 3, 2018 - Feb 2, 2019","Machesney Park, IL",,Public/Results/Tournament.aspx?IDTournament=h20181023183353901c15a0df6c15647
,NCTB 42 Classic 2019,"Mar 30 - 31, 2019","Antioch, CA • Stockton, CA • Sunnyvale, CA • Woodland, CA",,Public/Results/Tournament.aspx?IDTournament=h20190326163011044aa6906c825574d
,2019 Illinois Middle School Basketball Championship,"Mar 15 - 17, 2019","Rockford, IL",,Public/Results/Tournament.aspx?IDTournament=h201805242239054390e75313024cc44
,Spring PGBA Premier 2019,"Apr 6 - 7, 2019","Antioch, CA • San Jose, CA • Stockton, CA • Sunnyvale, CA • Woodland, CA",,Public/Results/Tournament.aspx?IDTournament=h20190326231426986d10d4f3a8bac43
,Midwest Super Showcase,"Apr 26 - 28, 2019","Cape Girardeau, MO",,Public/Results/Tournament.aspx?IDTournament=h20181201181653104d3d91f8596fc48
,Spring Fever 2019,"Apr 13 - 14, 2019","Antioch, CA • Fremont, CA • Stockton, CA • Sunnyvale, CA",,Public/Results/Tournament.aspx?IDTournament=h20190408205358646d6bab6aaf55a4f
,Cape Girardeau Classic,"May 11 - 12, 2019","Cape Girardeau, MO",,Public/Results/Tournament.aspx?IDTournament=h201812011835415914a81a88af31a40
,Prospect Wire Super Regional 2019,"May 4 - 5, 2019","Antioch, CA • San Jose, CA • Stockton, CA • Sunnyvale, CA",,Public/Results/Tournament.aspx?IDTournament=h2019042320531988174d1ad23ba2d4a
,Reebok Cape Girardeau VALENTINES DAY CLASSIC,"Feb 9 - 10, 2019","Cape Girardeau, MO",,Public/Results/Tournament.aspx?IDTournament=h20181003001954380d50a91ea647646
,The League 2019,"Mar 16 - May 19, 2019","Davis, CA • Sunnyvale, CA • Woodland, CA • Yountville, CA",,Public/Results/Tournament.aspx?IDTournament=h20190314194434514fc7888fc117a45
, Reebok Cape Girardeau MADNESS SUPERSHOWCASE,"Mar 16 - 17, 2019","Cape Girardeau, MO",,Public/Results/Tournament.aspx?IDTournament=h201810030031137002ab00f7097a941
,March Madness 2019 - Central Coast,"Mar 23 - 24, 2019","Paso Robles, CA",,Public/Results/Tournament.aspx?IDTournament=h2019032304094358968f536b98dfe42
,1st Annual Cape Girardeau Tip Off Classic,"Mar 30 - 31, 2019","Cape Girardeau, MO",,Public/Results/Tournament.aspx?IDTournament=h201808141637392618bf850b5f96147
,Super Bowl Party 2019,"Feb 2, 2019","Sunnyvale, CA",,Public/Results/Tournament.aspx?IDTournament=h201901281648266259c9e91fb86aa4f
,The 4th Annual Capitol City Classic,"Mar 1 - 3, 2019","Springfield, IL",,Public/Results/Tournament.aspx?IDTournament=h2018100216133233830ec12abdd6043
,Easter Showdown 2019,"Apr 19 - 20, 2019","Sunnyvale, CA",,Public/Results/Tournament.aspx?IDTournament=h20190415153822534760c0dd376724f
,Battlegrounds Spring Classic,"Apr 26 - 28, 2019","Springfield, IL",,Public/Results/Tournament.aspx?IDTournament=h201811201806070865be0879734a747
,Tourney Club March 16 - 17,"Mar 16 - 17, 2019","Watsonville, CA",,Public/Results/Tournament.aspx?IDTournament=h20190308180614439448996c203624e
,AYSA Junior Warrior Classic 2019,"Mar 1 - 3, 2019","Athens, IL • Cantrall, IL • Greenview, IL",,Public/Results/Tournament.aspx?IDTournament=h20181105032411606d892097373ef43
,Tourney Club Series,"Apr 7 - Jun 9, 2019","Watsonville, CA",,Public/Results/Tournament.aspx?IDTournament=h20190405183107046c2afc9048b7440
,4th Annual Hustle & Heart Showdown,"Feb 7 - 10, 2019","Saint Jacob, IL • St. Jacob, IL • Troy, IL",,Public/Results/Tournament.aspx?IDTournament=h201809180236293057f00daf7372c4a
,2019 BYBA SEASON,"Mar 9 - May 30, 2019","Burlingame, CA",,Public/Results/Tournament.aspx?IDTournament=h20190203230233848a04b86d624ce4e
,NPAC REDHAWKS SPRING CLASSIC XI,"Apr 4 - 7, 2019","Memphis, TN",,Public/Results/Tournament.aspx?IDTournament=h20190331135453122efb0762a1fd740
,BPA Spring Teams 2019,"Aug 1, 2018 - Jul 30, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20180802131000989150b498437dd48
, North Mississippi Middle School Elite 64 ALLSTAR Weekend,"Feb 22 - 24, 2019","Memphis, MS • Memphis, TN",,Public/Results/Tournament.aspx?IDTournament=h2019013023030211666bbea2590fc46
,GSSA 2017 Baseball,"Aug 1, 2018 - Jul 31, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201607161427178601d492158d1004d
,Memphis Kings Rumble  On The River 2019,"Apr 17 - 20, 2019","Memphis, TN",,Public/Results/Tournament.aspx?IDTournament=h20190308164948550a4cf48ee593141
,2019  Tomahawks Baseball Club ,"Oct 19, 2018 - Apr 27, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201810200307507814d8b25b9cf8c42
,3rd Annual Battle of the bluff,"Apr 25 - 28, 2019","memphis, TN",,Public/Results/Tournament.aspx?IDTournament=h20190417014621963963ad0a79f9442
,Champions Frost Buster,"Feb 23, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201810160257274696966465e563047
,The 2019 Scott Credit Union Tiger Pride Tournament,"Mar 9 - 10, 2019","Edwardsville, IL",,Public/Results/Tournament.aspx?IDTournament=h201811191240358822e1a2267413e4c
,Storm Summer Fees,"Mar 1 - Apr 30, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20190319204752958c679420acb114c
,COLLINSVILLE LADY KAHOK BOOSTERS GIRLS BASKETBALL TOURNAMENT,"Mar 15 - 17, 2019","Collinsville, IL",,Public/Results/Tournament.aspx?IDTournament=h2019010521532338719a58808e51a46
,OVP March Madness,"Mar 2 - 3, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201811191302173600432b94522d849
,REEBOK-SWI JETS SOUTHERN ILLINOIS  CLASSIC,"Feb 22 - 24, 2019","BELLEVILLE, IL",,Public/Results/Tournament.aspx?IDTournament=h201810022355037363b4bb6204c7b47
,CSP March Swing for the Fences,"Mar 9 - 10, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20181119174416648d7baaf47e9034c
,SWI JETS-REEBOK METRO EAST CLASSIC,"Mar 8 - 10, 2019","BELLEVILLE, IL",,Public/Results/Tournament.aspx?IDTournament=h20181003002842385f3263a72f52d4b
,NF AAU Super Regional (Championship Rings & Paid Bid),"Mar 9 - 10, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20181207034032942721d08d3148549
,Grassroots Explosion Tourney,"Mar 30 - 31, 2019","MEMPHIS, TN",,Public/Results/Tournament.aspx?IDTournament=h201902281611387440799315b814f49
,YOMCA -Jr. Grizzly League,"Jan 12 - Mar 16, 2019","Memphis, TN",,Public/Results/Tournament.aspx?IDTournament=h2019010217510294195a3033ea1b640
,Champions March Classic,"Mar 23 - 24, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201811191915480312f6df73025634a
,Battle in Bethalto,"Feb 22 - 24, 2019","Bethalto, IL",,Public/Results/Tournament.aspx?IDTournament=h2018121518175258313bc4abe3f5842
,Ohio Valley Prospects Spring Bash,"Mar 30 - 31, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20181119194819533d3ed231e4b804e
,Winter Classic 2019,"Feb 23 - 24, 2019","Granite City, IL",,Public/Results/Tournament.aspx?IDTournament=h20181001235944342bb4b992bf6d94a
,Hardwood Classic,"Apr 26 - 28, 2019","JACKSON, MS • RIDGELAND, MS",,Public/Results/Tournament.aspx?IDTournament=h20180830171142610591423aa53b748
,Line Drive Invitational @ Diamond Point Sports Complex,"Apr 12 - 14, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20180718223425673b8531045348d42
,She Got Next,"Mar 30 - 31, 2019","RIDGELAND, MS",,Public/Results/Tournament.aspx?IDTournament=h2018091618290399776cce6911f1042
,Test,"Apr 13 - 15, 2019",,,Public/Results/Tournament.aspx?IDTournament=h201904092222086110b28086d578f48
,Jacksonville Spring Classic,"Mar 23, 2019","Jacksonville, IL",,Public/Results/Tournament.aspx?IDTournament=h201901110303094364745f298acfe48
,NF AAU One Day Blowout,"Apr 13, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20181207035143504c07a2701ec8b46
,Jr. Crimson Battle Royale,"May 4 - 5, 2019","Jacksonville, IL",,Public/Results/Tournament.aspx?IDTournament=h20190110153834795e4740f5bf01345
,USBA Girls Can Hoop Too,"Apr 6 - 7, 2019","Jackson, MS",,Public/Results/Tournament.aspx?IDTournament=h20190403214952947402564cd6bdf4f
,NF AAU One Day King of the Diamond,"Apr 20, 2019",,,Public/Results/Tournament.aspx?IDTournament=h2018120703530879672a0b7ff4bbd49
,NCYA Winter League,"Jan 5 - Mar 9, 2019","Florissant, MO • St. Charles, MO • St. Louis, MO • St. Peters, Mo",,Public/Results/Tournament.aspx?IDTournament=h2018093014274418200983bf8094e43
, St. Raphael the Archangel 3rd Grade 2019,"Feb 16 - 24, 2019","Saint Louis, MO",,Public/Results/Tournament.aspx?IDTournament=h20190216173311804ea8e9577403245
,Spring/Summer Double Header Open League,"May 5 - Jun 30, 2019",,,Public/Results/Tournament.aspx?IDTournament=h2019042204413855663dff8c63b3f4e
,St. Raphael the Archangel 4th Grade Basketball Tournament,"Mar 2 - 10, 2019","Saint Louis, MO",,Public/Results/Tournament.aspx?IDTournament=h201902261711578390d8a809135bc4c
,REEBOK LONG JOHN SILVER-A&W WINTER  NATIONALS,"Mar 1 - 3, 2019","Ferguson, MO • MARYLAND HEIGHTS, MO • UNIVERSITY CITY, MO",,Public/Results/Tournament.aspx?IDTournament=h201810030026247460a9c207ef9b341
,One Day Bash,"May 11, 2019",,,Public/Results/Tournament.aspx?IDTournament=h20190115022716766fd3c712d68d541
,"THE MAC ""SUPER 16""    (Missouri)","Apr 13 - 14, 2019","St. Louis, MO",,Public/Results/Tournament.aspx?IDTournament=h201902230627544443df2bb5e83fe4d
,"THE MAC ""SUPER 16""      (Michigan)","Apr 27 - 28, 2019","Detroit, MI",,Public/Results/Tournament.aspx?IDTournament=h20190228183416147a1f540523a2648
,St. Louis Spring Showdown Super Regional,"Apr 19 - 21, 2019","University City, MO",,Public/Results/Tournament.aspx?IDTournament=h201812012105302302bef66e792854f
,Mineral Area Winter Classic VII,"Feb 16 - 17, 2019","Farmington, MO • Park Hills, MO",,Public/Results/Tournament.aspx?IDTournament=h20181009131152491014ef4d7aef940
,Farmington Spring Classic IV,"Apr 6 - 7, 2019","Farmington, MO • Park Hills, MO",,Public/Results/Tournament.aspx?IDTournament=h2018100913234160208f5728977864d
,REEBOK ARCH CLASSIC,"Feb 2 - 3, 2019","MARYLAND HEIGHTS, MO",,Public/Results/Tournament.aspx?IDTournament=h2018100300122650954559685de854a
,26TH ANNUAL KC KEYS-REEBOK BEST BASKETBALL TOURNAMENT,"Feb 15 - 17, 2019","Kansas City, MO",,Public/Results/Tournament.aspx?IDTournament=h201810030022511514d2d253f4e0749
,11th Annual Arch Challenge,"Apr 5 - 7, 2019","Maryland Heights, MO • Saint Louis, MO • St. Louis, MO",,Public/Results/Tournament.aspx?IDTournament=h20181201170355098267bb455effe4f
,Branson Spring Showdown-cancelled,"Apr 12 - 14, 2019","Branson, MO",,Public/Results/Tournament.aspx?IDTournament=h20181201174152310a49da9345e0d43
,MIDWEST SALSA SLAM (Qualifier),"May 3 - 5, 2019","Maryland Heights, MO",,Public/Results/Tournament.aspx?IDTournament=h201812011828089745640e69a653a4c
,BATTLE OF THE BRANDS,"Mar 22 - 24, 2019","Saint Louis, MO • ST LOUIS, MO",,Public/Results/Tournament.aspx?IDTournament=h20181003004056152d827a1dc4bb84b
,Midwest Tournament of Champions,"Apr 19 - 20, 2019","Ballwin, MO • Chesterfield, MO • St. Louis, MO",,Public/Results/Tournament.aspx?IDTournament=h2019021416371307336fd3742ddca48
,Spring League 2019,"Mar 24 - May 26, 2019","St. Charles, MO • St. Charles, Mo. 63304, MO",,Public/Results/Tournament.aspx?IDTournament=h2019031818535001180ba63e323374a
,Northwest Feeder Tournament 2019,"Feb 16 - 17, 2019","Cedar Hill, MO",,Public/Results/Tournament.aspx?IDTournament=h20190122173601559c17a91a2ea7f43
,MAYB Troy - Apr. 6 (Sat. Only),"Apr 6, 2019","Troy, MO",,Public/Results/Tournament.aspx?IDTournament=h201904021537242145bbc8ad4449742
,Shootout Series SPRING FLING 4TH- 7TH Grade Girls       ~1  DAY~  ***Powered by Under Armour***,"Apr 13, 2019","La Crosse, WI",,Public/Results/Tournament.aspx?IDTournament=h20181114200803985a7153944364047
,Shootout Series SPRING SHOWCASE 8th - 11th Grade Girls ~2 DAY~***Powered by Under Armour***,"Apr 13 - 14, 2019","La Crosse, WI",,Public/Results/Tournament.aspx?IDTournament=h20181114211957184293ed850edd54a
,4th Annual Broncos King of the Court,"Apr 12 - 14, 2019","Slaughter, LA • Zachary, LA",,Public/Results/Tournament.aspx?IDTournament=h20190408191746409bb1c2df5dfdb45
,Capital City Hoops: 3rd Annual Battle on the Bayou,"Mar 30 - 31, 2019","Baton Rouge, LA",,Public/Results/Tournament.aspx?IDTournament=h201903282255366997df7f939752c46
,Spring Slam Basketball Tournament,"Apr 27 - 28, 2019","Batesville, AR • Newark, AR",,Public/Results/Tournament.aspx?IDTournament=h2019042217360909404a6d3de726440
,5th Annual For Love of the Game,"Feb 9 - 10, 2019","Hiawatha, IA",,Public/Results/Tournament.aspx?IDTournament=h20180731190403243f68fd69669b244
,5th Annual Dominate the Paint,"Feb 16 - 17, 2019","Hiawatha, IA",,Public/Results/Tournament.aspx?IDTournament=h20180731203633770902b1226ffb544
,3rd Annual Nothin But Net,"Apr 6 - 7, 2019","Hiawatha, IA",,Public/Results/Tournament.aspx?IDTournament=h20180731220248904fb03b86138794b
,2nd Annual Attack the Rim,"Apr 13 - 14, 2019","Hiawatha, IA",,Public/Results/Tournament.aspx?IDTournament=h20180731222948917f453dc7ab06141
,5 Seasons Shootout,"May 4 - 5, 2019","Cedar Rapids, IA • Hiawatha, IA",,Public/Results/Tournament.aspx?IDTournament=h2019042219314145267a9a2874a9d4b
,MAYB Cedar Rapids - Mar. 30 (Sat. Only),"Mar 30, 2019","Cedar Rapids, IA",,Public/Results/Tournament.aspx?IDTournament=h201903262013242549ddc0e89cd7d43
,Spring Jam Basketball Tournamnet,"Mar 30 - 31, 2019","Bald Knob, AR • Judsonia, AR • Kensett, AR • McRae, AR • Searcy, AR",,Public/Results/Tournament.aspx?IDTournament=h20190325162950929fa62ad0ff53840
,Basketball Mayhem,"Mar 16 - 17, 2019","Judsonia, AR • Kensett, AR • Searcy, AR",,Public/Results/Tournament.aspx?IDTournament=h20190311175831021e6ec7adee0bc4d
,Wilmath Travel Slam Dunk,"Apr 13 - 14, 2019","Judsonia, AR • Kensett, AR • Searcy, AR",,Public/Results/Tournament.aspx?IDTournament=h201904091554316723179608970f144
,Shootout Series  Girls MIDWEST CHALLENGE ~1  DAY~  4th-11th ***Powered by UNDER ARMOUR***,"May 11, 2019","Menomonie, WI",,Public/Results/Tournament.aspx?IDTournament=h20181115203411542d748f167e77544
,Pee Wee State Basketball Tournament,"Feb 2 - 3, 2019","Kensett, AR • Searcy, AR",,Public/Results/Tournament.aspx?IDTournament=h20190129144812966007e2f0ec7b645
,Hoop City Classic 8,"Apr 13 - 14, 2019","Monroe, LA",,Public/Results/Tournament.aspx?IDTournament=h20190329024843567b0693b8637794e
,MAYB Columbia - Feb. 10th (Sun. Only),"Feb 10, 2019","Columbia, MO",,Public/Results/Tournament.aspx?IDTournament=h2019020417450864014fec8a854dc4d
,2019 Hoop It Up,"Feb 2, 2019","Waverly, IA",,Public/Results/Tournament.aspx?IDTournament=h20190110152339585f185e7a5dd5f4a
,WSR Youth Basketball Tournament,"Mar 2, 2019","Waverly, IA",,Public/Results/Tournament.aspx?IDTournament=h20190113151101985b4405c98f90f44
,Real Deal In The Rock 2019 Gold Division,"Apr 5 - 7, 2019","Little Rock, AR • Mabelvale, AR",,Public/Results/Tournament.aspx?IDTournament=h201812241521169024bbaaada9f4048
,2019 Byron Youth Basketball Classic,"Feb 9 - 10, 2019","Byron, MN",,Public/Results/Tournament.aspx?IDTournament=h2019010314484988492b57d7af6e948
,Battle of the South,"Feb 2 - 3, 2019","little Rock, AR",,Public/Results/Tournament.aspx?IDTournament=h2019013121561370370275e6af04f40
,Jammin 4 Jerseys (7th Annual),"Mar 29 - 31, 2019","Benton, AR • Bryant, AR • Little Rock, AR",,Public/Results/Tournament.aspx?IDTournament=h20190102212039953f160961428fb46
,Meeting in the Middle,"Feb 23 - 24, 2019","Bryant, AR • Little Rock, AR",,Public/Results/Tournament.aspx?IDTournament=h20190206204052816ece6b035420f47
,Roseville Boys Winter Classic,"Feb 23 - 24, 2019","Arden Hills, MN • Little Canada, MN • Roseville, MN • St. Paul, MN",,Public/Results/Tournament.aspx?IDTournament=h20181228032842029e12fe62e14744b
,The MAC Tipoff Classic  (Minnesota),"May 4 - 5, 2019","Blaine, MN",,Public/Results/Tournament.aspx?IDTournament=h20190301160807562a520eb6be1674f
,March Madness 3-on-3 IA,"Apr 7, 2019","Mason City, IA",,Public/Results/Tournament.aspx?IDTournament=h201902041721059592eed6c3030a640
,Respect Mom Shootout - One Day,"May 10 - 11, 2019","Mason City, IA",,Public/Results/Tournament.aspx?IDTournament=h20190204173101246e9e10e1b230d45
,Spartans For The Love of The Game,"Feb 16 - 17, 2019","MPLS, MN",,Public/Results/Tournament.aspx?IDTournament=h2019021117115247252beacaf96c64e
,3 Day Basketball Tournament ,"Apr 1 - 3, 2019","Minneapolis, MN",,Public/Results/Tournament.aspx?IDTournament=h20190129211215728f017786e7bb941
,Practice 4,"May 1 - 3, 2019","Minneapolis, MN",,Public/Results/Tournament.aspx?IDTournament=h20190213194453696e351ab52936d4c
,2019 AAU Saturday Shootout,"Mar 30, 2019","Bloomington, MN",,Public/Results/Tournament.aspx?IDTournament=h20181227194736572ad46190cd06647
,2019 Midwest Kick-Off Classic,"Apr 12 - 14, 2019","Bloomington, MN • Chaska, MN • Eden Prairie, MN",,Public/Results/Tournament.aspx?IDTournament=h20181227200200110f509c1aa51b140
,11th Annual Spring Showdown,"Apr 26 - 28, 2019","Bloomington, MN • Chanhassen, MN • Chaska, MN",,Public/Results/Tournament.aspx?IDTournament=h20181227191945767d1e34065e8434c
,2019 AAU Girls Basketball State Championships,"May 3 - 5, 2019","Bloomington, MN • Chaska, MN",,Public/Results/Tournament.aspx?IDTournament=h2018122719350831051205042b8e748
,AAU 3 on 3 Kick-Off (MN),"Mar 10, 2019","Chanhassen, MN",,Public/Results/Tournament.aspx?IDTournament=h20190207183159057201345c2f3604b
,Boys State AAU,"Feb 9 - 10, 2019","Ames, IA • Boone, IA • Gilbert, IA • Huxley, IA • Nevada, IA",,Public/Results/Tournament.aspx?IDTournament=h20180821175341059ee43ddc66e7942
,Super 16,"Apr 6 - 7, 2019","Ames, IA • Nevada, IA",,Public/Results/Tournament.aspx?IDTournament=h20190111190144228fa9c5124aa2d44
,Midwest March Madness 2019,"Mar 23 - 24, 2019","Ozark, MO • Springfield, MO",,Public/Results/Tournament.aspx?IDTournament=h20190304232159492cb06b3eaaeec49
,SEP Groundhog Day Special,"Feb 2, 2019","Pleasant Hill, IA",,Public/Results/Tournament.aspx?IDTournament=h20181029005604730a16a811151bd41
,**Canceled Sunday**Ballard Booster Club BOYS Tournament,"Feb 23 - 24, 2019","Cambridge, IA • Huxley, IA • Slater, IA",,Public/Results/Tournament.aspx?IDTournament=h20190218023038008fe770f9b5f4442
,Show Me Showdown,"Feb 23 - 24, 2019","Republic, MO • Springfield, MO",,Public/Results/Tournament.aspx?IDTournament=h2019021906273914895f15a22d03242
,MAYB Des Moines - Feb. 9th (Sat. Only),"Feb 9, 2019","Des Moines, IA",,Public/Results/Tournament.aspx?IDTournament=h201902041943267217e20af80de5641
,MAYB Des Moines - Mar. 30-31,"Mar 30 - 31, 2019","Des Moines, IA",,Public/Results/Tournament.aspx?IDTournament=h2019032619153728957e8e470be0845
,MAYB Spring Kick Off,"Apr 13, 2019","Des Moines, IA • Urbandale, IA",,Public/Results/Tournament.aspx?IDTournament=h20190408132855767c91b89ae3a8646
,GRBA/515 Hoops February Freeze Out,"Feb 9 - 10, 2019","Des Moines, IA • Grimes, IA",,Public/Results/Tournament.aspx?IDTournament=h201902021746253625bebea79e58840
,GRBA Div. I State Championships - 2019,"Feb 2 - 3, 2019","Des Moines, IA • Urbandale, IA",,Public/Results/Tournament.aspx?IDTournament=h201808221942130121e2b83ab774b48
,GRBA/515 Hoops Div. II State Championships - 2019,"Mar 2 - 3, 2019","Des Moines, IA • Grimes, IA",,Public/Results/Tournament.aspx?IDTournament=h201808222102126112739c8e4490747
,AAU Girls State & GRBA 2nd Grade State 2019,"Feb 16 - 17, 2019","Des Moines, IA",,Public/Results/Tournament.aspx?IDTournament=h201808222020258702d78ae2e334541
,Queens of the Court 2019,"May 4 - 5, 2019","Des Moines, IA • Urbandale, IA",,Public/Results/Tournament.aspx?IDTournament=h20190213191417556be3ff8b337984f
,"Iowa Gym Rats, 515 Hoops, & Midwest Live Multi-Event discount registration page","May 11 - Jul 28, 2019","Des Moines, IA • Grimes, IA",,Public/Results/Tournament.aspx?IDTournament=h201904080046181014ecf9c20a4f546
,Gilbert Booster Basketball Tournament: 3/2/19,"Mar 2, 2019","Gilbert, IA",,Public/Results/Tournament.aspx?IDTournament=h201810080302085065d25cb2a850b44
,7th-8th 3A/4A Boys State,"Feb 16 - 17, 2019","Ames, IA • Gilbert, IA",,Public/Results/Tournament.aspx?IDTournament=h20180821180740041424bc52371b842
,3rd-6th 3A/4A Boys State ,"Feb 23 - 24, 2019","Ames, IA • Gilbert, IA • Nevada, IA",,Public/Results/Tournament.aspx?IDTournament=h201808211821322406683861cc7af49
,Be the Best,"Apr 27 - 28, 2019","Ames, IA • Gilbert, IA",,Public/Results/Tournament.aspx?IDTournament=h20190111202019198f0201283887e41
,Multi Season Test Tournament 2019,"Jan 30 - Feb 1, 2019","Ames, IA",,Public/Results/Tournament.aspx?IDTournament=h201809171844267836ee15a80e8824f
,Spring Tune Up,"Apr 13 - 14, 2019","Ames, IA",,Public/Results/Tournament.aspx?IDTournament=h201901112012343354b716e42e6714e
,Easter Shootout,"Apr 20, 2019","Ames, IA",,Public/Results/Tournament.aspx?IDTournament=h2019040222114029891dafb146bba47
,Midwest Festival of Teams,"May 11 - 12, 2019","Ames, IA",,Public/Results/Tournament.aspx?IDTournament=h201901111926179987ea2fdf5a8fe4f
,SE Demo,"Mar 20 - Apr 30, 2019","Ames, IA • Lincoln, NE",,Public/Results/Tournament.aspx?IDTournament=h201811131924248514bcfb9706b5645
,Public Posting Scores Caching Bug,"Mar 28 - Apr 20, 2019","Ames, IA",,Public/Results/Tournament.aspx?IDTournament=h201812102030479576e626e4e0e2744
,Teammate Basketball & The Tournament of Stars pres. The Lake City Classic,"Apr 12 - 14, 2019","Lake Charles, LA",,Public/Results/Tournament.aspx?IDTournament=h201809061609510558b8d5904c5b441
,MAYB West Des Moines - Apr. 27-28,"Apr 27 - 28, 2019","Clive, IA • Des Moines, IA • West Des Moines, IA",,Public/Results/Tournament.aspx?IDTournament=h20190418202444001350e06f80ab348
,JBC Classic 2019,"Feb 22 - 23, 2019","Johnston, IA",,Public/Results/Tournament.aspx?IDTournament=h2018102115265266610b52ecd36a244
,Urbandale 4th / 5th Basketball Tournament,"Feb 2, 2019","Urbandale, IA",,Public/Results/Tournament.aspx?IDTournament=h20190125153712448a2e363f268884b
,5th Grade Girls Team J-Hawk Basketball Tournament,"Mar 2, 2019","Urbandale, IA",,Public/Results/Tournament.aspx?IDTournament=h201902212048497613aa8febe0ff54f
,Stampede Shootout,"Feb 2, 2019","Grimes, IA",,Public/Results/Tournament.aspx?IDTournament=h20190116190451801365f0604688647
,Boys Stampede Shootout,"Feb 9, 2019","Grimes, IA",,Public/Results/Tournament.aspx?IDTournament=h20190123010619301afd272f9558640
,MAYB Des Moines - Mar. 9th (Sat. Only),"Mar 9, 2019","Urbandale, IA",,Public/Results/Tournament.aspx?IDTournament=h2019030614205584038e8c56ab9e845
,2019 May Madness Presented by 515 Hoops,"May 11 - 12, 2019","Grimes, IA",,Public/Results/Tournament.aspx?IDTournament=h20190312122212148258c75b4d0544b
,Algona Booster Club Boys Basketball Tournament,"Mar 2, 2019","Algona, IA",,Public/Results/Tournament.aspx?IDTournament=h2019022419390378789622490955448
,2019 Iowa CornShark Classic,"Apr 13 - 14, 2019","Fort Dodge, IA",,Public/Results/Tournament.aspx?IDTournament=h20190318211110682b2b1d35e5ed64a
,Pride of the North,"Mar 1 - 3, 2019","Bemidji, MN",,Public/Results/Tournament.aspx?IDTournament=h20190109155701480119e343980174b
,Creston Basketball Association Youth Boys Tournament,"Mar 2, 2019","Creston, IA",,Public/Results/Tournament.aspx?IDTournament=h2018092416445951804d1645949fe46
,Winter Wonderland CBE Championship,"Feb 9 - 10, 2019","Blue springs, MO • Kansas City, MO • Shawnee, KS",,Public/Results/Tournament.aspx?IDTournament=h20180924192710026338026c86a0841
,USSSA Boys & Girls Midwest Championships 2019,"Feb 22 - 24, 2019","Blue Springs, MO • Kansas City, MO, MO • Shawnee, KS",,Public/Results/Tournament.aspx?IDTournament=h2018092419365486194a7b23e25b244
,MAYB Kansas City - March Madness,"Mar 8 - 10, 2019","BLUE SPRINGS, MO",,Public/Results/Tournament.aspx?IDTournament=h20190226190427377d324df43e2d449
,Gold Ring Championship,"Apr 26 - 28, 2019","blue springs, MO • Independence, MO • Liberty, MO",,Public/Results/Tournament.aspx?IDTournament=h201902071957542575cd203ff2e0f46
