Keyword,Title,Link,Location,Date,Icon
,2019 Duel In The Desert LAX Tournament,Public/Results/Tournament.aspx?IDTournament=h201901021853577030296db4577ae46,"Yakima, WA","Apr 13 - 14, 2019",
,2019 9/10 League,Public/Results/Tournament.aspx?IDTournament=h20190304222819234b8fe2823ee1a41,"Duluth, MN • Hastings, MN • Hudson, WI • Lindstrom, MN • Mahtomedi, MN • Mankato, MN • St. Michael, MN • TBD, MN","Apr 13 - May 19, 2019",
,Spring Thaw 2019,Public/Results/Tournament.aspx?IDTournament=h20190217134455647a135b31d75fb43,"Fredrica, DE","Mar 16, 2019",
,2019 Trampis Palmer Memorial Battle at the Butte,Public/Results/Tournament.aspx?IDTournament=h201903100332125627ba9dc0fb59544,"Hermiston, OR","Apr 20, 2019",
,MLK Lacrosse Invitational,Public/Results/Tournament.aspx?IDTournament=h201612020900577398279a77880d046,"Hightstown, NJ • Wayne, NJ","Jan 14, 2017 - Jan 14, 2020",
,Ice Melter Lakeland Lacrosse 2019,Public/Results/Tournament.aspx?IDTournament=h20190314183203910df5a40b7fe934d,"Bonnyville, AB • Cold Lake, AB","May 10 - 12, 2019",
,Little Rock LaxFest 2019,Public/Results/Tournament.aspx?IDTournament=h20181212174855034afc4f50e5e574b,"North Little Rock, AR","Feb 15 - 17, 2019",
,Destin Lacrosse Invitational 2019,Public/Results/Tournament.aspx?IDTournament=h201902080145220970cbf59db5b8245,"Destin, FL","Apr 13 - 14, 2019",
,18th Annual Menlo-Atherton High School Girls' JV Lacrosse Tournament,Public/Results/Tournament.aspx?IDTournament=h20190321181255019320b043b71844d,"Atherton, CA","Apr 13, 2019",
,Gem State Jamboree,Public/Results/Tournament.aspx?IDTournament=h2018112818460811948fe96d795924e,"Meridian, ID","Mar 8 - 9, 2019",
,2019 Viking Games,Public/Results/Tournament.aspx?IDTournament=h201902180258596108c0455e191e449,"Bermuda Run, NC","Feb 23, 2019",
,Meet Us in the Middle,Public/Results/Tournament.aspx?IDTournament=h201811072207520710c835fbc513248,"Brentwood, TN","Mar 2, 2019",
,4th Annual Penguin Invitational Sponsored by Team  Igloo,Public/Results/Tournament.aspx?IDTournament=h20190104141449505e5b03bb143b246,"Brookville, NY","May 4, 2019",
,Lax Luau 2019,Public/Results/Tournament.aspx?IDTournament=h2019042818572132764ff3ecffba746,"West Windsor, NJ","May 5, 2019",
,2019 Charlotte Shootout,Public/Results/Tournament.aspx?IDTournament=h20190326113508800be639c33e58d41,"Matthews, NC","Apr 6, 2019",
,BRAVEHEART 2019,Public/Results/Tournament.aspx?IDTournament=h201809182007067004be5ecb0cbf749,"Louisville, KY","Apr 10 - 14, 2019",
,Testytest,Public/Results/Tournament.aspx?IDTournament=h20180909120008717ab4ee122fff34d,"Luchenbach, TX","Mar 1 - 3, 2019",
,6th Battle Of The Bay,Public/Results/Tournament.aspx?IDTournament=h2019040901374946480233cb83cb149,"Tampa, FL","Apr 13 - 14, 2019",
,2019 Mesa Spring Play Day,Public/Results/Tournament.aspx?IDTournament=h20190221123805239d842ce4d709f41,"Haverford, PA • Newtown Square, PA • West Chester, PA","Mar 31, 2019",
,Lax in the Park  2019,Public/Results/Tournament.aspx?IDTournament=h2019021414520160616eef410264347,"Marrero, LA","Apr 6, 2019",
,LAX 500,Public/Results/Tournament.aspx?IDTournament=h20181216220954169aa6ebacaa10643,"Joliet, IL","Apr 27, 2019",
,Legends Best of the West,Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,"Henderson, NV","Feb 22 - 24, 2019",
,3d New England Spring 7v7,Public/Results/Tournament.aspx?IDTournament=h20190318142914185955bff5f852148,"West Roxbury, MA","Mar 24, 2019",
,22nd Annual Baggataway Invitational,Public/Results/Tournament.aspx?IDTournament=h2019012217441208587783737469c42,"Medina, OH","Apr 27 - 28, 2019",
,SDGLA Girls Spring  2019,Public/Results/Tournament.aspx?IDTournament=h2019011517384243079641f1ac25049,"Carlsbad, CA • Coronado, CA • Encinitas, CA • La Jolla, CA • Lakeside, CA • Murrieta, CA • Poway, CA • Ramona, CA • San Diego, CA • San Marcos, CA • Solana Beach, CA • Spring Valley, CA • Valley Center, CA • Vista, CA","Mar 1 - May 19, 2019",
,Three Rivers Shootout 2019,Public/Results/Tournament.aspx?IDTournament=h2019011001263450926de48025aee4f,"Kennewick, Wa","Apr 27 - 28, 2019",
,NGLL Midwest,Public/Results/Tournament.aspx?IDTournament=h201903081748023575709a10ed01247,"Carol Stream, IL • Cincinnati, OH • crown point, IN • Evanston, IL","Apr 14 - May 19, 2019",
,2019 Polar Challenge,Public/Results/Tournament.aspx?IDTournament=h201901281710090503425cf0dcaa944,"Wyomissing, PA","Feb 18, 2019",
,2019 NorthWest Shootout,Public/Results/Tournament.aspx?IDTournament=h201904042106305954944cceeecb646,"Kalispell, mt","Apr 20 - 21, 2019",
,Ronald McDonald Lacrosse Tourney,Public/Results/Tournament.aspx?IDTournament=h20190228141501206a4d1f0f5d69144,"stamford, CT","Mar 31, 2019",
,Windy City Classic,Public/Results/Tournament.aspx?IDTournament=h201808061609241493602b289892a41,"Carol Stream, IL • Evanston, IL • Villa Park, IL, IL","Apr 27 - 28, 2019",
,TribzLacrosse WNTR 18/19,Public/Results/Tournament.aspx?IDTournament=h2018121001242675619cf54d2f6594d,"Irvine, CA","Dec 22, 2018 - Feb 9, 2019",
,Mountain Vista L3 Tourney 4.20.2019,Public/Results/Tournament.aspx?IDTournament=h20190415235154267594e91c2be7a46,"Highlands Ranch, CO","Apr 20, 2019",
,Demo Tournament,Public/Results/Tournament.aspx?IDTournament=h2017113014472911003e6ef7d24814a,"Ames, IA • Lincoln, NE","Mar 1 - 3, 2019",
,MSI Boys Indoor League,Public/Results/Tournament.aspx?IDTournament=h201811241942224759f7248a8b52848,"Garnet Valley, PA","Dec 3, 2018 - Feb 1, 2019",
,Midwest Classic 2019,Public/Results/Tournament.aspx?IDTournament=h2018110815173070002c38dd8c25542,"Columbus, OH","Feb 16 - 17, 2019",
,O2 Skyline Tournament Youth Division,Public/Results/Tournament.aspx?IDTournament=h20190204183016255699da5932a374d,"North Arlington, NJ","Feb 9 - 10, 2019",
,GHGYLA EoS 2019,Public/Results/Tournament.aspx?IDTournament=h201903300006067088346fbaca8f44d,"The Woodlands, TX","May 4 - 5, 2019",
,Raider Rumble 2019,Public/Results/Tournament.aspx?IDTournament=h20190412015554574305cad5ef2a94e,"Alpharetta, GA","Apr 12 - 13, 2019",
,5th Annual Red River Rivalry Lacrosse Tournament,Public/Results/Tournament.aspx?IDTournament=h20190128193451685ff150d9f69be48,"Durant, OK","Feb 2, 2019",
,Spring MADNESS Play Day 2019 presented by MDLX Events,Public/Results/Tournament.aspx?IDTournament=h201903061726553642e17b036242247,"Bethesda, MD • Potomac, MD","Mar 17, 2019",
,2019 SAN JUAN SHOOTOUT LACROSSE TOURNAMENT,Public/Results/Tournament.aspx?IDTournament=h2019032816051093060951c0f941b4d,"Montrose, CO","Apr 13 - 14, 2019",
,Deuces Wild Junior Tournament,Public/Results/Tournament.aspx?IDTournament=h201903182003046830e990c74849946,"Lawrence Twp., NJ","Apr 7, 2019",
,Patriot Box Lacrosse League 2018-2019,Public/Results/Tournament.aspx?IDTournament=h20181108162343551f8c3d8658e6b44,"Morristown, NJ","Dec 1, 2018 - Feb 10, 2019",
,Spooky Nook Winter Youth Lacrosse,Public/Results/Tournament.aspx?IDTournament=h20181019170604186616131ec86e046,"East Petersburg, PA • Manheim, PA","Nov 3, 2018 - Mar 2, 2019",
,NXT Mid-Atlantic Spring League 2019 (Girls),Public/Results/Tournament.aspx?IDTournament=h20190205221859197d2968fdbe0824b,"Fort Washington, PA • Villanova, PA","Apr 14 - May 19, 2019",
,2019 King of the Rock,Public/Results/Tournament.aspx?IDTournament=h201803120253431613decd2c6bcc34a,"Castle Rock, CO","Mar 9 - 10, 2019",
,Trilogy Great Lax Box Classic,Public/Results/Tournament.aspx?IDTournament=h201901310231047382f45c42330df45,"Canton, MI","Feb 9 - 10, 2019",
,2019 Pre-Season Box League,Public/Results/Tournament.aspx?IDTournament=h20181218140740604568c2b11536b40,"Anoka, MN • Apple Valley, MN • Circle Pines, MN • Eagan, MN • Hopkins, MN • Minneapolis, MN","Mar 16 - Apr 20, 2019",
,Big Blue,Public/Results/Tournament.aspx?IDTournament=h2019031516332502011cbcd3aec604e,"Ann Arbor, MI","Apr 27 - 28, 2019",
,Bayou Bash 2019,Public/Results/Tournament.aspx?IDTournament=h20190225034640478cf203b9733ed49,"Hammond, LA","Apr 6 - 7, 2019",
,Spring Thaw,Public/Results/Tournament.aspx?IDTournament=h2019040215575589339ed7dbffc5040,"Princeton, NJ","Apr 7, 2019",
,2019 SPRING LAX JAM BOYS TRAVEL,Public/Results/Tournament.aspx?IDTournament=h20190418145932829dc1012cd06a44b,"Holtsville, NY","Apr 27, 2019",
,2019 OCLAX Winter Youth Season,Public/Results/Tournament.aspx?IDTournament=h201811012126271063404adfd5b7c4d,"Huntington Beach, Ca • Irvine, Ca • Lake Forest, Ca • Rancho Santa Margarita, Ca • Santa Ana, ca • tustin, CA • yorba linda, CA","Jan 12 - Mar 11, 2019",
,King & Queen of the Hills 2019,Public/Results/Tournament.aspx?IDTournament=h20190130003534002df10f60b006545,"Ada, MI","May 4 - 5, 2019",
,Spring Fling,Public/Results/Tournament.aspx?IDTournament=h20190404230158331f2e3311fe58c4f,"Pottstown, PA","Apr 13 - 14, 2019",
,Boise Lacrosse Invitational,Public/Results/Tournament.aspx?IDTournament=h20190219234512118e2dff3c70eb84d,"Boise, ID • Caldwell, ID • Middleton, ID • Nampa, ID","Mar 21 - 24, 2019",
,2019 IceBreaker Tournament - Powered by All West Lacrosse,Public/Results/Tournament.aspx?IDTournament=h201901282114119871ff8c7f1381644,"Petaluma, CA","Feb 2, 2019",
,Briarcrest Saints Invitational,Public/Results/Tournament.aspx?IDTournament=h2018112620185118968f7730d091348,,"Mar 2, 2019",
,Rip The Duck,Public/Results/Tournament.aspx?IDTournament=h20190329115704322392838a096534c,"South Bend, IN","Apr 13 - 14, 2019",
,NGLL Mid-Atlantic 2019,Public/Results/Tournament.aspx?IDTournament=h201902251811440875b3e5f50dc7d4f,"Alexandria, VA • Annapolis, MD • Baltimore, MD • Bowie, MD • Brooklandville, MD • Olney, MD • Owings Mills, MD • Woodbine, MD","Mar 30 - May 19, 2019",
,2019 CHAMPIONS LEAGUE,Public/Results/Tournament.aspx?IDTournament=h201903041824315605f9e1b5ec7404d,"Louisville, KY","Mar 10 - May 18, 2019",
,SDYLA Boys 2019 Spring Season,Public/Results/Tournament.aspx?IDTournament=h201809271740587780ba32429a4884f,"Alpine, CA • Carlsbad, CA • Chula Vista, CA • Encinitas, CA • La Jolla, CA • Oceanside, CA • Poway, CA • Rancho Santa Fe, CA • San Diego, CA • San Marcos, CA • Santee, CA • Solana Beach, CA • Spring Valley, CA • Valley Center, CA","Mar 2 - May 11, 2019",
,TRUE PA Girls Midnight Madness,Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41,"cheswick, PA","Feb 23 - 24, 2019",
,Crawfish Shootout 2019,Public/Results/Tournament.aspx?IDTournament=h20180307204337138265dde29b94443,"Broussard, LA","Feb 16 - 17, 2019",
,Middleton JV Showcase,Public/Results/Tournament.aspx?IDTournament=h20190426020415794e33cdc2b4e0148,"Middleton, WI","May 4, 2019",
, 2019 OCLAX  Spring Youth Season,Public/Results/Tournament.aspx?IDTournament=h201903070729511842e1f285133624a,"Huntington Beach, Ca • Irvine, Ca • Lake Forest, Ca • Rancho Santa Margarita, Ca • Santa Ana, ca • tustin, CA • yorba linda, CA","Mar 30 - May 19, 2019",
,Presidents' Day 2019,Public/Results/Tournament.aspx?IDTournament=h2019012323322845563fd2f0b75a74d,"McCook, IL • West Dundee, IL","Feb 18, 2019",
,Founders Cup Box Lacrosse Tournament,Public/Results/Tournament.aspx?IDTournament=h2019012413235168463cec46c606641,"Reading, PA","Feb 9 - 10, 2019",
,Trilogy MetLife Stadium Classic 2019,Public/Results/Tournament.aspx?IDTournament=h20190408131206027c3a4f996871045,"East Rutherford, NJ","Apr 14, 2019",
,Spring JV Faceoff Classic,Public/Results/Tournament.aspx?IDTournament=h201811011215064563cea774b8e7c4d,"Immokalee, FL","Mar 2, 2019",
,Tomahawks Hockey Club,Public/Results/Tournament.aspx?IDTournament=h20190109141351533f6cb9c10c91e4f,,"Jan 9 - Aug 19, 2019",
,Viper Sports Club Indoor Tournament,Public/Results/Tournament.aspx?IDTournament=h20190209193050652b0718fd72dbd47,"Limerick, PA","Feb 17, 2019",
,UPDATED: Viper Sports Club Indoor Tournament,Public/Results/Tournament.aspx?IDTournament=h2019020521040871401950d3412d646,"Limerick, PA","Feb 10, 2019",
,Christian  Academy of Louisville Indoor Field  Hockey Classic 2019 ,Public/Results/Tournament.aspx?IDTournament=h201811201855106557637226408794f,"Louisville, KY","Mar 9, 2019",
,Viper Sports Club Indoor Tournament,Public/Results/Tournament.aspx?IDTournament=h2019021614215993829b441bbd8e841,"Limerick, PA","Feb 23, 2019",
,Steel Winter Shootout,Public/Results/Tournament.aspx?IDTournament=h2019012319353988500f81cdbcdb442,"Brasher Falls, NY • Chase Mills, NY • Fort Covington, NY • Potsdam, NY","Mar 1 - 3, 2019",
,NSHA Eastern Regional,Public/Results/Tournament.aspx?IDTournament=h2019030800181302019cc4971392a4e,"Bellmawr, NJ • Evesham Twp., NJ • Philadelphia, PA","Mar 23 - 31, 2019",
,2019 Spring Lanco Adult Field Hockey,Public/Results/Tournament.aspx?IDTournament=h20190404141423147bf3bc391b6294f,"East Petersburg, PA","Apr 11 - Jun 6, 2019",
,Big Thaw,Public/Results/Tournament.aspx?IDTournament=h201810261731036745bce29d561c143,"Fairport, NY • Rochester, NY","Mar 8 - 10, 2019",
,Cape Ice Classic 2019,Public/Results/Tournament.aspx?IDTournament=h20181029040032081954b16abe7a549,"Hyannis, MA","Feb 15 - 17, 2019",
,2019 Rochester Area Indoor Field Hockey League,Public/Results/Tournament.aspx?IDTournament=h2018111518404060855f2a5b476df46,"West Henrietta, NY","Jan 20 - Mar 10, 2019",
,HTC Winter Hardcourt Tournament II,Public/Results/Tournament.aspx?IDTournament=h201901241940077052e09ec1962714b,"Tolland, CT","Feb 2, 2019",
,Winter Freeze 2019,Public/Results/Tournament.aspx?IDTournament=h2019012316540149958ed3d9da35f40,"West Chester, PA","Feb 9, 2019",
,U10 & U12 Co-Ed National Indoor Tournament 2019,Public/Results/Tournament.aspx?IDTournament=h20190107204849890889511f1d15a43,"Manheim, PA","Feb 22 - 24, 2019",
,2019 Ignite the Ice,Public/Results/Tournament.aspx?IDTournament=h2019032819033570060b3e9d8931c42,"Blaine, MN • Brooklyn Park, MN • Eden Prairie, MN • Edina, MN • New Hope, MN • Prior Lake, MN • St. Louis Park, MN","Apr 11 - 14, 2019",
,Viper Sports Club Indoor Tournament,Public/Results/Tournament.aspx?IDTournament=h20190126214455064c420ec32718b42,"Limerick, PA","Feb 2, 2019",
,Spring Turf League 2019,Public/Results/Tournament.aspx?IDTournament=h20190305160257896525bca19aecd40,"Manheim, PA","Mar 12 - May 7, 2019",
,2019 Minnesota Meltdown,Public/Results/Tournament.aspx?IDTournament=h2019041814343177521a6fd313fa34c,"Blaine, MN • Brooklyn Park, MN • Eden Prairie, MN • Edina, MN • Maple Grove, MN • Minnetonka, MN • New Hope, MN • Richfield, MN • St. Louis Park, MN","Apr 25 - 28, 2019",
,2019 Disney Field Hockey Showcase,Public/Results/Tournament.aspx?IDTournament=h20190104224251956d06b3b20f6ba4b,"Orlando, FL","Feb 1 - 3, 2019",
,2019 Mid-Winter Classic,Public/Results/Tournament.aspx?IDTournament=h20180413184333278931c61799d4748,"Jamestown, NY","Feb 15 - 18, 2019",
,U14 Girls National Indoor Tournament 2019,Public/Results/Tournament.aspx?IDTournament=h2018090420353450351822398977143,"Manheim, PA","Feb 15 - 18, 2019",
,4Goals Challenge Tournament,Public/Results/Tournament.aspx?IDTournament=h2019012322565797779b2f0cb1ccc4d,"Chula Vista, CA","Feb 10, 2019",
,Winter Indoor Field Hockey Tournament,Public/Results/Tournament.aspx?IDTournament=h20180710122427550593cb3172bdf4a,"Downingtown, PA","Feb 23, 2019",
,Richmond National Indoor Tournament 2019,Public/Results/Tournament.aspx?IDTournament=h20190206212039036040634a920bc4e,"Richmond, VA","Feb 22 - 24, 2019",
,Clover Classic 2019,Public/Results/Tournament.aspx?IDTournament=h20190312225305864cde680488c994d,"Dimondale, MI • East Lansing, MI","Mar 15 - 17, 2019",
,Viper Sports Club Indoor Tournament,Public/Results/Tournament.aspx?IDTournament=h201902091900463995aa7106ab2e44f,"Limerick, PA","Feb 16, 2019",
,(CANCELLED) Feb 18th Winter Indoor Field Hockey Tournament,Public/Results/Tournament.aspx?IDTournament=h20180710122356081fe08a0654fc342,"Downingtown, PA","Feb 18, 2019",
,Spring Flick 7v7 Tournament,Public/Results/Tournament.aspx?IDTournament=h2018122115412538935dac1aa11f04f,"Downingtown, PA","Apr 27, 2019",
,USTC Winter Indoor Field Hockey Tournament,Public/Results/Tournament.aspx?IDTournament=h20180710122301146cf35d4a2ad0242,"Downingtown, PA","Feb 2, 2019",
,Kai-Zen Field Hockey Winter Play Day 2019,Public/Results/Tournament.aspx?IDTournament=h20190212191509771e053129040924f,"Syracuse, NY","Feb 24, 2019",
,Kai-Zen Field Hockey Spring Fling 2019,Public/Results/Tournament.aspx?IDTournament=h20190426123421022a9b68af0018d4c,"Syracuse, NY","Apr 28, 2019",
,Viper Sports Club Indoor Tournament,Public/Results/Tournament.aspx?IDTournament=h2019021615064442094791f48c92348,"Limerick, PA","Feb 24, 2019",
,Apple Jam 2019,Public/Results/Tournament.aspx?IDTournament=h201902021221054448b7074f3c04448,"Louisville, KY","May 8 - 12, 2019",
,Winter Indoor Field Hockey Tournament,Public/Results/Tournament.aspx?IDTournament=h20180710122330312af3bc4a9281441,"Downingtown, PA","Feb 16, 2019",
,Janesville Hockey Rocks Tournament ,Public/Results/Tournament.aspx?IDTournament=h201901271438083173936dd1ab67f4b,"Janesville, WI","Feb 2 - 3, 2019",
,UPDATED: Viper Sports Club Indoor Tournament,Public/Results/Tournament.aspx?IDTournament=h20190205014005112a2983fd9d4b145,"Limerick, PA","Feb 9, 2019",
,Seacoast United U-16 RCC,Public/Results/Tournament.aspx?IDTournament=h2019040518305153247ca5c458eac44,"Epping, NH","May 4 - 5, 2019",
,Winter Turf 2,Public/Results/Tournament.aspx?IDTournament=h201901021615048303fe583518ca441,"Manheim, PA","Jan 8 - Feb 28, 2019",
,Gateway Field Hockey Spring League,Public/Results/Tournament.aspx?IDTournament=h20190327162612826533d51454b2148,"Maryland Heights, MO","Apr 7 - May 19, 2019",
,U16 National Indoor Tournament 2019,Public/Results/Tournament.aspx?IDTournament=h201902111829189027f6401093b314f,"Manheim, PA","Mar 1 - 3, 2019",
,Winter Indoor Field Hockey Tournament,Public/Results/Tournament.aspx?IDTournament=h20180710122316617807d6c47aa5645,"Downingtown, PA","Feb 9, 2019",
,10th Annual GFMHSF 3v3 Tournament,Public/Results/Tournament.aspx?IDTournament=h20190212192441712d8a87a6bc8b848,"Des Moines, IA","Mar 30 - 31, 2019",
,St Pete Kick Off Classic,Public/Results/Tournament.aspx?IDTournament=h20190203211401675a20c5c01285e45,"ST Petersburg, FL","Feb 9 - 10, 2019",
,I-95 7v7 Shootout Tournament,Public/Results/Tournament.aspx?IDTournament=h201903290006157946e574af8824440,"Woodbine, MD","Mar 30, 2019",
,Music City Showdown,Public/Results/Tournament.aspx?IDTournament=h20190319222230002dc0538145fa14e,"Nashville, TN","Mar 23, 2019",
,Endzone7on7 Battle of Texas (Houston),Public/Results/Tournament.aspx?IDTournament=h2019012217321189621387613ff4d46,"The Woodlands, TX","Mar 9 - 10, 2019",
,MCFFU World Championships XIII,Public/Results/Tournament.aspx?IDTournament=h20190304164451861f07c3427211d43,"Minneapolis, AR","Apr 27 - 28, 2019",
,AFFL Qualifier powered by Mid State Sports,Public/Results/Tournament.aspx?IDTournament=h201902191341420663206cc63fe3b4f,"Nashville, TN","Mar 2 - 3, 2019",
," Winter Bowl Shoot-Out 2019""  ages 5u-18u",Public/Results/Tournament.aspx?IDTournament=h20190110190821417303af44c670749,"Metairie, LA","Feb 9 - 10, 2019",
,"PREMIER EVENTS TEXAS, NOCONA 7on7 PRIMETIME SPORTS TOC QUALIFIER (3 Games Guaranteed)",Public/Results/Tournament.aspx?IDTournament=h20190113185016022b32aa3fb10754b,"Nocona, TX","Mar 23, 2019",
,NFA7v7 Southeast Regional,Public/Results/Tournament.aspx?IDTournament=h201901071746590443818981db24a45,"Bradenton, FL","Mar 23 - 24, 2019",
,Spring Thurs Co-Ed Flag Football,Public/Results/Tournament.aspx?IDTournament=h20190204190048273d3f3714264af4f,"Nashville, TN","Apr 11 - Jun 6, 2019",
,Winter League Playoffs 2019,Public/Results/Tournament.aspx?IDTournament=h20190211035011462156b1af1acdf46,"Irvine, CA","Feb 22 - Mar 1, 2019",
,2019 All-American 7on7 Spring Passing League,Public/Results/Tournament.aspx?IDTournament=h20190402161448495a6682d26dd1044,"Barrington, IL • Des Plaines, IL","Apr 7 - May 27, 2019",
,AFFL Warm up Tourney,Public/Results/Tournament.aspx?IDTournament=h20190419000148269baa0b078507b47,"Hollywood, FL","Apr 20, 2019",
,Spring Sun Flag Football ,Public/Results/Tournament.aspx?IDTournament=h201902041840433637428f3ce6ced46,"Nashville, TN","Apr 7 - Jun 9, 2019",
,2019  Playoffs,Public/Results/Tournament.aspx?IDTournament=h20190302223341310fa3f149281d441,"Maitland, FL • Palm Coast, FL • Winter park, FL","Mar 1 - Dec 31, 2019",
,Top Gun Chicago 7v7,Public/Results/Tournament.aspx?IDTournament=h20190124194007567ff975a647e0542,"Lake Barrington, IL","Mar 30 - 31, 2019",
,NFA7v7 East Regional,Public/Results/Tournament.aspx?IDTournament=h20190116162255087fc0d492d79ae4a,"Myrtle Beach, SC","Feb 23 - 24, 2019",
,AFFL Tune-Up @ RockyTop,Public/Results/Tournament.aspx?IDTournament=h2019041118584356627f79553503842,"Gatlinburg, TN","Apr 20 - May 14, 2019",
,Sam Madison 7v7 South FL Classic,Public/Results/Tournament.aspx?IDTournament=h20190214171315160f8a518596f4e47,"Miami Gardens, FL","Mar 30 - 31, 2019",
,"2019 ""GET AMBUSHED"" 7on7 SHOWDOWN",Public/Results/Tournament.aspx?IDTournament=h201904100302245328d29e3a1251849,"Fort Worth, TX","Apr 27, 2019",
,Test Tournament,Public/Results/Tournament.aspx?IDTournament=h20190326162951473888f720240b74b,"Test, TX","Mar 27 - 28, 2019",
,Elite 7evens Kansas Invitational,Public/Results/Tournament.aspx?IDTournament=h20190419170513243a97332fd1cec4a,"Wichita, KS","Apr 20, 2019",
,Island 7v7 Classic,Public/Results/Tournament.aspx?IDTournament=h20190225120017890f4c70137a7b246,"Honolulu, HI","Mar 16 - 17, 2019",
,Fast Houston Classic (National 7v7),Public/Results/Tournament.aspx?IDTournament=h201902251049397523c51ef78f6774e,"Cypress, TX","Mar 2 - 3, 2019",
,GARDEN STATE PARKWAY,Public/Results/Tournament.aspx?IDTournament=h2019030921214702776d078f0879841,"Long Branch, NJ","Apr 20, 2019",
,JMFA 2018 Season - Jeffco Midget Football,Public/Results/Tournament.aspx?IDTournament=h2018072114521809355df1ad3c0c14e,"Arvada, CO • Aurora, CO • Brighton, CO • Broomfield, CO • Commerce City, CO • CONIFER, CO • Denver, CO • Englewood, CO • Evergreen, CO • Golden, CO • Henderson, CO • Lakewood, CO • LITTLETON, CO • Thornton, CO • Westminster, CO • Wheat Ridge, CO","Nov 30, 2018 - Feb 8, 2019",
,Back 2 Basics 7v7 Invitational,Public/Results/Tournament.aspx?IDTournament=h20190222121525755b623007b7e7140,"Jacksonville, FL","Feb 23, 2019",
,Next Level Greats Invitational - New Jersey,Public/Results/Tournament.aspx?IDTournament=h201901161550598444daad044ffc34f,"Mount Laurel, NJ","May 4 - 5, 2019",
,Sam Madison 7v7 North FL Classic,Public/Results/Tournament.aspx?IDTournament=h20190322184230648df3c5cafabf343,"Tallahassee, FL","Apr 6 - 7, 2019",
,Trips Right 3 on 3  Flag Tourney,Public/Results/Tournament.aspx?IDTournament=h20190217182140558c6b987a7245a42,"Phoenix, AZ","Mar 16 - 17, 2019",
,KB3 Houston Classic,Public/Results/Tournament.aspx?IDTournament=h201903251448584344811ab4f60a342,"Houston, TX","Apr 20, 2019",
,BATTLE AT THE BEACH,Public/Results/Tournament.aspx?IDTournament=h20190225122527072765714bd83c843,"VIRGINIA BEACH, VA","Mar 23 - 24, 2019",
,Lookout Mountain Classic,Public/Results/Tournament.aspx?IDTournament=h2019032703132277662a6f865a4e140,"Chattanooga, TN","Mar 30, 2019",
,Spring Fling 2019,Public/Results/Tournament.aspx?IDTournament=h201903082248093447a8d7389bae244,"Austell, GA","Apr 7, 2019",
,CT Sportsplex Session 2 Adult Flag Football,Public/Results/Tournament.aspx?IDTournament=h2019010420353460376d4e8fc1dc74b,"North Branford, CT","Jan 7 - Mar 18, 2019",
,Southern Xpress Border War,Public/Results/Tournament.aspx?IDTournament=h201903122356389916002f0662a5143,"Alabaster, AL","Mar 16, 2019",
,adidas National Championship 7v7,Public/Results/Tournament.aspx?IDTournament=h2019030715514598844a238feb7064a,"Tampa Bay, FL","Mar 30 - 31, 2019",
,Spring Fest,Public/Results/Tournament.aspx?IDTournament=h2019022618030205577245c5815fc42,"Bakersfield, CA","Mar 2, 2019",
,The Elite 32 - Avery Strong (Powered by DOMO),Public/Results/Tournament.aspx?IDTournament=h201902141823310651760057d18694a,"Sacramento, CA","Feb 17, 2019",
,TMP Tournament of Champions,Public/Results/Tournament.aspx?IDTournament=h20190301053832915ac024d78ad6a40,"Sacramento, CA","Mar 2, 2019",
,DRIP OR DROWN 7v7 CLASSIC,Public/Results/Tournament.aspx?IDTournament=h20190310000708111fc1d6db1d50343,,"Apr 27, 2019",
,Rocky Top 7v7 Classic 2019,Public/Results/Tournament.aspx?IDTournament=h201902180233060484bc0eea243fd46,"Gatlinburg, TN","Mar 2, 2019",
,adidas West Coast Invitational 7v7,Public/Results/Tournament.aspx?IDTournament=h201903061921597064070b07beb6340,"Torrence, CA","Mar 10, 2019",
,Flagler Beach SRT,Public/Results/Tournament.aspx?IDTournament=h201903010607043257b16db954b3044,"Flagler Beach,, FL","Mar 2 - 3, 2019",
,TRUE BUZZ RECRUITING TOURNAMENT,Public/Results/Tournament.aspx?IDTournament=h2019030112414088175031581af824d,"Dallas, TX","Apr 13 - 14, 2019",
,NFA7v7 Mid-America Regional,Public/Results/Tournament.aspx?IDTournament=h20190319205446413b6829d1fde9442,"Hartford, KY","Apr 13 - 14, 2019",
,Spring Mon 5-Man Flag Football,Public/Results/Tournament.aspx?IDTournament=h20190204185547767e6b8e9bbda0f49,"Nashville, TN","Apr 8 - Jun 10, 2019",
,High Springs SRT,Public/Results/Tournament.aspx?IDTournament=h201903291253424457677c3eacf644f,"High Springs,, FL","Mar 30 - 31, 2019",
,Elite 3 7v7 Showcase,Public/Results/Tournament.aspx?IDTournament=h201904022319031385c84d20b36eb47,"Nashville, TN","Apr 6, 2019",
,adidas East Coast Invitational 7v7,Public/Results/Tournament.aspx?IDTournament=h20190225135559197894399e21eca47,"Miami, FL","Mar 2, 2019",
,2018-19  MICS Regular Season,Public/Results/Tournament.aspx?IDTournament=h201811282033350608b4c85b0682745,"Punta Gorda, FL","Dec 9, 2018 - Feb 17, 2019",
,45 SOUTH SHOWDOWN,Public/Results/Tournament.aspx?IDTournament=h2019031000232412764e00103765d4a,"League City, TX","Apr 27, 2019",
